 ;comment_text;Rhetoric;Main targeted group;Secondary targeted group;Pejorative framing of communism;Vulgar language
ČT;Hrabiš je minimálne taký zločinec ako Frico.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Sug Madic A Babiš snad nevěděl, že dělá něco, co by dělat neměl?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Na chudy musi bejt prisnost.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Babiš za mříže! Podvedl nás všechny!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková A důkazy , sem s nimi 🤣😭;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Hana Šecová sledujte proces, důkazů je dost.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková Trubko 🎺;Hateful speech;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková a všichni jsme ve válce;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Rudolf Marek jste hulvát, asi fanda ANO a Bureše že.;Hateful speech;Fellow commenters;Candidate - Babiš;TRUE;TRUE
ČT;Katka Kaščáková paní vy jste asi praštěná napište důkazy že podvedl občany jste hodně troufala aby se vám to nevrátilo obviňovat jen tak někoho to jste odvazliva;Hateful speech;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Milan Knedlik Sama si sleduju, co chci,není třeba radit 😭🥳;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková V čem podvedl vás? Rychlé si něco  vymyslete    . A mluvte za sebe.;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková Jjj hlavně tebe ty chudinko 1 ....🤣🤮!!!;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Milan Knedlik tak starý a tak omezený 🤦🏻;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Hana Šecová   Asi 1000 stran spisu - opravdu to přečtete ?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Hana Šecová Ty mají u soudu,vy zřejmě máte důkazy o  jeho nevinně že?Vy ovečky i kdyby před vámi zavraždil dítě,tak mu to prominete,jak jste slepí.;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Katka Kaščáková kdy;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Milan Knedlik ano přesně jsem;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
