"V1","comment_text","Rhetoric","Main targeted group","Secondary targeted group","Pejorative framing of communism","Vulgar language","word_count"
"SZ","Nova kniha hrichu... Treti radek vlevo dole... 😂","Hateful speech","Candidate - Babiš","Not targeting",FALSE,FALSE,8
"SZ","Taky by mě zajímalo kdy bude odsouzený Bakala a další tuneláři a podvodníci. Všechno je dobře zaplacený.","Trolling","Other political subjects","Not targeting",FALSE,FALSE,17
"SZ","Marta Kvačková Jo, devenko, kde neni zalobce, neni soudce. Nebo jste na nektereho z nich podala TO?","Constructive engagement","Fellow commenters","Not targeting",FALSE,FALSE,17
"SZ","","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,0
"SZ","Škoda tohoto papíru to muselo padnout stromů aby nějakej si na něj psal svou obhajobu no přístě raději diktafon je to šetrné k přírodě....🙏👏","Hateful speech","Candidate - Babiš","Not targeting",FALSE,FALSE,24
"SZ","Červený Drak Jseš trapnej jak kolečka u snowboardu!","Trolling","Fellow commenters","Not targeting",FALSE,FALSE,8
"SZ","🤣🤣🤣🤣🤣🤣","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,1
"SZ","Babis👍 a vy buzny se vsichni poserte a modlete se za Dozimetr","Trolling","Fellow commenters","Not targeting",FALSE,TRUE,12
"SZ","Babiš čte výplatní pásku naší vlády....","Trolling","Other political subjects","Not targeting",FALSE,FALSE,6
"SZ","Marta Kvačková Jo, devenko, kde neni zalobce, neni soudce. Nebo jste na nektereho z nich podala TO?","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,17
"SZ","Lada Brožová to už pan Fiala zapomněl.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,7
"SZ","Daniel Zabek jsme v pohodě. Hlavně žádnou paniku.😜","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,8
"SZ","Jaroslav Bojko zadek neví co mluví tihle ukrofialovi signalisti z pětisračky se na víc nezmůžou !","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,16
"SZ","Karel Mořický Senior já ne to Peťa.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,7
"SZ","Červený Drak Nevím co se ti přesně stalo, ale moc mě mrzí.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,12
"SZ","Karel Mořický Senior nemusí já se jen bavím tou předvolební řečí. Možná by si měl Péťa od těch hoven utřít tím toaletním papírem koutky.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,24
